,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
500,002041,登海种业,种植业,山东,125.09,8.72,8.8,36.03,27.6,6.35,0.29,0.03,0.035,3.21,2.76,20050418,16.37,1.86,3.8,-8.0,30.92,10.12,68652.0
587,002129,中环股份,半导体,天津,33.48,26.83,27.85,450.6,146.8,184.84,77.17,2.77,0.162,4.64,2.34,20070420,23.35,0.84,22.91,50.69,17.43,5.69,92746.0
674,002216,三全食品,食品,河南,42.86,5.65,8.02,39.77,18.62,17.04,2.44,0.3,0.111,2.63,3.61,20080220,10.16,1.27,-1.15,8.01,33.21,2.92,28110.0
858,002402,和而泰,元器件,深圳,36.2,7.18,8.55,43.12,27.38,3.68,1.87,0.22,0.198,2.04,7.06,20100511,6.54,0.76,41.69,31.85,22.61,9.76,53078.0
936,002481,双塔食品,食品,山东,57.55,11.07,12.43,44.21,20.36,14.51,5.46,0.44,0.075,2.15,4.0,20100921,7.92,0.64,2.74,38.6,19.52,8.09,91427.0
966,002511,中顺洁柔,造纸,广东,32.29,12.75,13.06,55.95,23.28,26.33,7.32,0.56,0.22,2.79,4.87,20101125,17.36,1.33,22.67,37.59,36.69,8.66,20700.0
1033,002579,中京电子,元器件,广东,37.55,3.49,3.72,28.32,13.07,10.37,3.91,1.05,0.149,2.82,3.96,20110506,2.76,0.74,29.79,35.83,21.83,5.91,25798.0
1050,002596,海南瑞泽,其他建材,海南,79.38,8.98,11.54,70.84,35.43,5.77,16.44,1.42,0.04,3.12,2.02,20110707,7.62,0.66,-15.15,-38.91,22.76,3.73,68937.0
1150,002698,博实股份,化工机械,黑龙江,27.6,8.23,10.23,36.53,29.49,2.06,0.97,0.1,0.162,2.09,4.28,20120911,8.52,0.83,70.24,103.57,44.77,23.92,26275.0
1157,002706,良信电器,电气设备,上海,17.84,5.89,7.85,22.2,13.01,6.37,3.83,0.49,0.197,2.13,3.3,20140121,5.15,0.66,17.84,23.06,41.29,16.39,17431.0
1223,002777,久远银海,软件服务,四川,53.84,1.9,2.24,18.75,15.17,0.91,4.94,2.2,0.276,4.63,6.42,20151231,2.66,1.19,15.14,42.49,57.14,18.17,9227.0
1240,002796,世嘉科技,专用机械,江苏,54.48,1.24,1.68,24.05,13.22,3.7,11.14,6.62,0.359,8.71,4.49,20160510,1.8,1.07,66.87,350.88,20.2,6.64,16129.0
1245,002801,微光股份,电气设备,浙江,23.4,0.58,1.18,11.69,9.74,1.4,2.26,1.92,0.664,7.88,3.94,20160622,5.18,4.4,28.23,53.3,32.4,20.5,10593.0
1263,002821,凯莱英,生物制药,天津,55.29,1.22,2.31,32.75,14.13,9.75,11.41,4.93,1.0,11.67,9.39,20161118,13.88,6.0,44.27,46.37,44.23,20.98,10591.0
1314,002876,三利谱,元器件,深圳,1379.97,0.71,1.04,22.85,15.73,3.95,3.42,3.29,0.012,8.46,3.82,20170525,3.82,3.67,47.7,-95.71,13.37,0.2,6756.0
1355,002920,德赛西威,汽车配件,广东,60.14,1.22,5.5,54.75,41.5,5.5,20.7,3.76,0.18600000000000005,7.21,3.1,20171226,11.48,2.09,-20.59,-64.37,22.08,4.5,28000.0
1387,002956,西麦食品,食品,广西,27.61,0.2,0.8,15.3,12.8,1.03,8.31,10.38,0.94,15.73,3.29,20190619,3.23,4.04,0.0,0.0,59.83,16.84,26075.0
1818,600529,山东药玻,医疗保健,山东,30.64,5.04,5.95,48.66,29.92,13.84,9.13,1.54,0.366,6.09,3.69,20020603,17.78,2.99,10.4,30.04,37.6,15.18,13816.0
1878,600598,北大荒,种植业,黑龙江,12.58,17.78,17.78,90.66,42.63,30.8,24.2,1.36,0.396,3.66,2.72,20020329,7.87,0.44,-4.11,-2.1,79.43,41.64,93583.0
2229,601100,恒立液压,工程机械,江苏,21.71,8.82,8.82,81.28,51.87,22.36,18.34,2.08,0.7609999999999999,5.61,5.89,20111028,19.82,2.25,29.05,44.74,37.03,24.02,11974.0
2377,601966,玲珑轮胎,汽车配件,山东,17.05,12.0,12.0,255.52,108.63,102.55,26.66,2.22,0.604,8.13,2.53,20160706,56.46,4.7,14.74,38.47,25.23,8.73,51185.0
2395,603005,晶方科技,半导体,江苏,98.35,1.75,2.3,21.85,10.19,8.36,9.41,4.1,0.094,8.08,2.28,20140210,6.78,2.95,-27.91,-10.99,33.08,10.75,25150.0
2441,603068,博通集成,半导体,上海,127.3,0.35,1.39,12.65,11.88,0.52,6.87,4.95,0.397,7.68,13.15,20190415,2.14,1.54,0.0,0.0,34.82,18.33,24800.0
2475,603129,春风动力,摩托车,浙江,15.69,0.66,1.34,21.35,15.61,2.09,6.02,4.48,0.773,7.12,3.41,20170818,3.07,2.29,36.87,44.06,31.31,6.35,11000.0
2495,603181,皇马科技,化工原料,浙江,17.84,1.39,2.8,19.63,9.33,7.8,5.3,1.89,0.422,5.29,2.85,20170824,6.41,2.29,6.6,44.48,22.28,13.66,16424.0
2499,603187,海容冷链,机械基件,山东,13.44,0.28,1.13,20.66,16.67,2.85,6.94,6.13,1.3,12.35,2.79,20181129,5.19,4.58,18.15,48.37,34.42,16.8,12409.0
2521,603232,格尔软件,软件服务,上海,209.5,0.73,1.21,7.09,5.5,0.68,1.9,1.57,0.063,4.99,5.32,20170421,2.64,2.17,5.27,-20.78,64.43,7.0,7291.0
2527,603258,电魂网络,互联网,浙江,32.41,1.17,2.44,22.28,13.25,2.28,8.47,3.48,0.35,7.2,3.15,20161026,5.31,2.18,53.54,64.76,83.75,29.05,21609.0
2531,603267,鸿远电子,元器件,北京,27.32,0.41,1.65,23.42,21.01,1.32,12.89,7.8,1.072,12.38,4.73,20190515,5.47,3.31,0.0,0.0,59.53,32.6,21287.0
2540,603289,泰瑞机器,专用机械,浙江,25.57,1.36,2.67,13.35,10.78,1.98,3.25,1.22,0.232,3.65,3.26,20171031,3.47,1.3,2.06,42.1,31.64,15.08,12758.0
2549,603308,应流股份,专用机械,安徽,27.8,4.34,4.34,76.41,30.95,30.55,15.71,3.62,0.08,6.7,1.44,20140122,7.87,1.81,23.46,14.76,35.65,7.49,33220.0
2575,603345,安井食品,食品,福建,33.17,1.37,2.3,43.85,23.51,14.03,10.86,4.72,0.76,10.92,4.36,20170222,11.21,4.87,19.93,16.04,25.48,7.07,8107.0
2617,603501,韦尔股份,半导体,上海,1503.97,1.41,8.64,56.71,26.97,2.4,12.46,1.44,0.029,1.94,45.31,20170504,5.63,0.65,-18.25,-83.77,17.47,1.63,13299.0
2663,603605,珀莱雅,日用化工,浙江,46.55,0.62,2.01,25.28,14.81,5.55,8.25,4.1,0.87,8.91,9.0,20171115,7.21,3.58,27.48,34.49,65.78,13.06,9847.0
