,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
500,002041,登海种业,种植业,山东,125.09,8.72,8.8,36.03,27.6,6.35,0.29,0.03,0.035,3.21,2.76,20050418,16.37,1.86,3.8,-8.0,30.92,10.12,68652.0
587,002129,中环股份,半导体,天津,33.48,26.83,27.85,450.6,146.8,184.84,77.17,2.77,0.162,4.64,2.34,20070420,23.35,0.84,22.91,50.69,17.43,5.69,92746.0
674,002216,三全食品,食品,河南,42.86,5.65,8.02,39.77,18.62,17.04,2.44,0.3,0.111,2.63,3.61,20080220,10.16,1.27,-1.15,8.01,33.21,2.92,28110.0
858,002402,和而泰,元器件,深圳,36.2,7.18,8.55,43.12,27.38,3.68,1.87,0.22,0.198,2.04,7.06,20100511,6.54,0.76,41.69,31.85,22.61,9.76,53078.0
936,002481,双塔食品,食品,山东,57.55,11.07,12.43,44.21,20.36,14.51,5.46,0.44,0.075,2.15,4.0,20100921,7.92,0.64,2.74,38.6,19.52,8.09,91427.0
1033,002579,中京电子,元器件,广东,37.55,3.49,3.72,28.32,13.07,10.37,3.91,1.05,0.149,2.82,3.96,20110506,2.76,0.74,29.79,35.83,21.83,5.91,25798.0
1050,002596,海南瑞泽,其他建材,海南,79.38,8.98,11.54,70.84,35.43,5.77,16.44,1.42,0.04,3.12,2.02,20110707,7.62,0.66,-15.15,-38.91,22.76,3.73,68937.0
1223,002777,久远银海,软件服务,四川,53.84,1.9,2.24,18.75,15.17,0.91,4.94,2.2,0.276,4.63,6.42,20151231,2.66,1.19,15.14,42.49,57.14,18.17,9227.0
1240,002796,世嘉科技,专用机械,江苏,54.48,1.24,1.68,24.05,13.22,3.7,11.14,6.62,0.359,8.71,4.49,20160510,1.8,1.07,66.87,350.88,20.2,6.64,16129.0
1263,002821,凯莱英,生物制药,天津,55.29,1.22,2.31,32.75,14.13,9.75,11.41,4.93,1.0,11.67,9.39,20161118,13.88,6.0,44.27,46.37,44.23,20.98,10591.0
1314,002876,三利谱,元器件,深圳,1379.97,0.71,1.04,22.85,15.73,3.95,3.42,3.29,0.012,8.46,3.82,20170525,3.82,3.67,47.7,-95.71,13.37,0.2,6756.0
1355,002920,德赛西威,汽车配件,广东,60.14,1.22,5.5,54.75,41.5,5.5,20.7,3.76,0.18600000000000005,7.21,3.1,20171226,11.48,2.09,-20.59,-64.37,22.08,4.5,28000.0
1387,002956,西麦食品,食品,广西,27.61,0.2,0.8,15.3,12.8,1.03,8.31,10.38,0.94,15.73,3.29,20190619,3.23,4.04,0.0,0.0,59.83,16.84,26075.0
1818,600529,山东药玻,医疗保健,山东,30.64,5.04,5.95,48.66,29.92,13.84,9.13,1.54,0.366,6.09,3.69,20020603,17.78,2.99,10.4,30.04,37.6,15.18,13816.0
1878,600598,北大荒,种植业,黑龙江,12.58,17.78,17.78,90.66,42.63,30.8,24.2,1.36,0.396,3.66,2.72,20020329,7.87,0.44,-4.11,-2.1,79.43,41.64,93583.0
2229,601100,恒立液压,工程机械,江苏,21.71,8.82,8.82,81.28,51.87,22.36,18.34,2.08,0.7609999999999999,5.61,5.89,20111028,19.82,2.25,29.05,44.74,37.03,24.02,11974.0
2377,601966,玲珑轮胎,汽车配件,山东,17.05,12.0,12.0,255.52,108.63,102.55,26.66,2.22,0.604,8.13,2.53,20160706,56.46,4.7,14.74,38.47,25.23,8.73,51185.0
2395,603005,晶方科技,半导体,江苏,98.35,1.75,2.3,21.85,10.19,8.36,9.41,4.1,0.094,8.08,2.28,20140210,6.78,2.95,-27.91,-10.99,33.08,10.75,25150.0
2441,603068,博通集成,半导体,上海,127.3,0.35,1.39,12.65,11.88,0.52,6.87,4.95,0.397,7.68,13.15,20190415,2.14,1.54,0.0,0.0,34.82,18.33,24800.0
2475,603129,春风动力,摩托车,浙江,15.69,0.66,1.34,21.35,15.61,2.09,6.02,4.48,0.773,7.12,3.41,20170818,3.07,2.29,36.87,44.06,31.31,6.35,11000.0
2521,603232,格尔软件,软件服务,上海,209.5,0.73,1.21,7.09,5.5,0.68,1.9,1.57,0.063,4.99,5.32,20170421,2.64,2.17,5.27,-20.78,64.43,7.0,7291.0
2527,603258,电魂网络,互联网,浙江,32.41,1.17,2.44,22.28,13.25,2.28,8.47,3.48,0.35,7.2,3.15,20161026,5.31,2.18,53.54,64.76,83.75,29.05,21609.0
2531,603267,鸿远电子,元器件,北京,27.32,0.41,1.65,23.42,21.01,1.32,12.89,7.8,1.072,12.38,4.73,20190515,5.47,3.31,0.0,0.0,59.53,32.6,21287.0
2549,603308,应流股份,专用机械,安徽,27.8,4.34,4.34,76.41,30.95,30.55,15.71,3.62,0.08,6.7,1.44,20140122,7.87,1.81,23.46,14.76,35.65,7.49,33220.0
2575,603345,安井食品,食品,福建,33.17,1.37,2.3,43.85,23.51,14.03,10.86,4.72,0.76,10.92,4.36,20170222,11.21,4.87,19.93,16.04,25.48,7.07,8107.0
2663,603605,珀莱雅,日用化工,浙江,46.55,0.62,2.01,25.28,14.81,5.55,8.25,4.1,0.87,8.91,9.0,20171115,7.21,3.58,27.48,34.49,65.78,13.06,9847.0
2775,603823,百合花,染料涂料,浙江,19.71,0.7,2.25,24.08,14.2,6.98,4.32,1.92,0.505,6.55,3.04,20161220,7.33,3.26,12.78,29.33,24.47,11.24,15783.0
2834,603936,博敏电子,元器件,广东,29.41,2.55,3.15,39.69,15.53,11.47,13.66,4.34,0.329,7.48,2.59,20151209,6.18,1.96,22.26,122.91,21.09,9.36,21843.0
938,002484,江海股份,元器件,江苏,28.72,7.64,8.15,43.39,25.67,7.87,13.84,1.7,0.208,4.14,1.92,20100929,9.97,1.22,7.58,-4.76,29.78,11.43,24478.0
1214,002768,国恩股份,塑料,山东,19.07,1.77,2.71,43.3,31.49,7.38,9.36,3.45,0.925,8.26,2.85,20150630,9.45,3.48,30.57,24.26,17.96,8.21,14792.0
1247,002803,吉宏股份,互联网,福建,19.73,1.18,2.23,23.7,15.59,4.46,5.33,2.4,1.1,5.98,4.58,20160712,5.41,2.43,33.61,76.29,44.18,10.71,11020.0
1287,002847,盐津铺子,食品,湖南,38.65,0.36,1.28,14.39,5.2,6.86,3.63,2.83,0.72,6.1,5.9,20170208,2.68,2.08,30.12,62.92,42.87,9.15,11594.0
2242,601100,恒立液压,工程机械,江苏,34.97,8.82,8.82,80.4,50.86,22.26,18.34,2.08,1.04,5.89,8.23,20111028,22.29,2.53,21.32,27.49,36.55,23.92,12230.0
2648,603517,绝味食品,食品,湖南,32.38,2.64,6.09,53.23,25.1,10.79,8.28,1.36,1.06,6.21,7.02,20170317,20.64,3.39,18.98,26.06,34.7,15.81,11899.0
2866,603938,三孚股份,化工原料,河北,26.57,0.51,1.5,12.54,7.1,2.63,3.88,2.59,0.583,7.5,2.75,20170628,5.08,3.38,7.37,0.45,27.89,9.83,11625.0
